Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,test
      35.000,     411.880,     180.159,      16.520,       1.227,       0.688,     -84.603,       0.000,     405.703,      16.213,      -0.162,       0.028,      98.474,       0.000,       0.000,      36.884,      -1.449,      -0.011,       0.926,       0.000,       0.000,       0.000,     145.489,      36.462,       0.429,       0.000,       0.000,       0.000,       0.000,      43.147,       0.509,       0.000,       0.000,       0.000,       0.000,       0.000,     116.161,
      36.000,     436.839,     170.434,      16.524,       0.823,       0.221,     -75.915,       0.000,     431.930,      18.259,       0.635,      -0.268,      87.271,       0.000,       0.000,      38.972,      -1.444,      -1.116,      -1.540,       0.000,       0.000,       0.000,     153.164,      31.109,      -1.097,       0.000,       0.000,       0.000,       0.000,      39.384,       0.089,       0.000,       0.000,       0.000,       0.000,       0.000,      87.698,
      37.000,     449.836,     229.808,      21.675,       1.262,       1.583,    -110.481,       0.000,     433.184,      23.070,      -1.423,      -0.468,     115.808,       0.000,       0.000,      51.736,      -1.772,       0.570,      -0.956,       0.000,       0.000,       0.000,     159.444,      49.717,       3.389,       0.000,       0.000,       0.000,       0.000,      58.264,       1.539,       0.000,       0.000,       0.000,       0.000,       0.000,     183.077,
      38.000,     581.373,     215.555,      32.051,       0.452,       1.080,      90.879,       0.000,     548.308,      35.595,       1.215,      -0.489,    -105.842,       0.000,       0.000,      72.030,      -0.504,       0.264,       1.619,       0.000,       0.000,       0.000,     198.850,     -38.222,       3.924,       0.000,       0.000,       0.000,       0.000,      63.259,      -1.889,       0.000,       0.000,       0.000,       0.000,       0.000,     125.798,
      39.000,     607.506,     291.331,      25.844,      -0.941,       1.950,    -143.316,       0.000,     560.770,      27.553,      -4.544,      -1.435,     158.499,       0.000,       0.000,      58.769,       3.523,       2.060,       0.105,       0.000,       0.000,       0.000,     209.663,      68.414,       7.275,       0.000,       0.000,       0.000,       0.000,      68.478,       3.376,       0.000,       0.000,       0.000,       0.000,       0.000,     225.265,
      40.000,     319.816,      44.389,      14.560,      60.845,      -0.183,      -0.689,       0.000,     153.273,      11.826,      51.724,      -2.024,      -0.773,       0.000,       0.000,      39.217,       4.071,      -1.255,       1.811,       0.000,       0.000,       0.000,     108.019,      -0.447,      -1.476,       0.000,       0.000,       0.000,       0.000,      17.908,       1.566,       0.000,       0.000,       0.000,       0.000,       0.000,      18.429,
      41.000,      33.023,       5.710,       1.985,      11.719,      -0.001,       0.082,       0.000,      17.220,       1.370,       8.089,       0.095,       0.160,       0.000,       0.000,       8.061,       0.622,      -0.074,       0.163,       0.000,       0.000,       0.000,      11.675,       0.126,       0.033,       0.000,       0.000,       0.000,       0.000,       4.194,       1.118,       0.000,       0.000,       0.000,       0.000,       0.000,       3.152,
      50.000,     326.448,     272.553,     165.430,       1.727,      42.566,      -1.465,    -265.498,      27.806,       1.734,      -0.139,       2.230,      -1.290,    -156.214,       4.418,       9.434,       0.507,       4.163,      -0.148,       0.000,       0.000,       0.000,      14.314,      -0.511,       0.655,      29.616,      49.472,      29.621,       0.000,      17.332,      -0.443,       0.000,       0.000,       0.000,       0.000,       0.000,       3.422,
      51.000,     466.083,      69.513,      65.668,       5.134,      -0.806,       1.158,       0.000,     304.936,      56.323,      64.095,      -1.257,       1.990,       0.000,       0.000,     199.324,     -28.394,      -1.725,       1.251,       0.000,       0.000,       0.000,     138.517,       3.770,      -2.609,       0.000,       0.000,       0.000,       0.000,      51.033,      13.715,       0.000,       0.000,       0.000,       0.000,       0.000,     117.365,
      52.000,     817.016,     180.025,     191.890,      59.224,     227.336,     -26.400,       0.000,     652.497,     169.160,      -4.157,     106.244,      -5.262,       0.000,       0.000,     520.646,      44.787,      47.224,      -6.410,       0.000,       0.000,       0.000,     251.615,      14.292,      37.541,       0.000,       0.000,       0.000,       0.000,     241.979,       9.334,       0.000,       0.000,       0.000,       0.000,       0.000,     251.058,
      53.000,     100.857,      23.444,      12.799,       8.290,      -1.884,      -2.540,       0.000,      73.938,      14.889,      28.728,      -0.104,      -3.376,       0.000,       0.000,      48.659,       4.117,      -0.914,      -3.638,       0.000,       0.000,       0.000,      24.605,      -0.249,      -0.871,       0.000,       0.000,       0.000,       0.000,      33.943,      -2.045,       0.000,       0.000,       0.000,       0.000,       0.000,      15.178,
      54.000,     200.506,     111.933,      17.986,      -0.331,       1.048,     -91.783,       0.000,     178.776,      49.035,      -5.622,      -1.433,     -38.679,       0.000,       0.000,     103.141,      -4.692,       0.770,      47.118,       0.000,       0.000,       0.000,     108.605,      33.801,      -4.260,       0.000,       0.000,       0.000,       0.000,      67.617,      -1.745,       0.000,       0.000,       0.000,       0.000,       0.000,     166.647,
      55.000,     143.471,      40.118,      12.085,       1.157,      -0.155,     -15.090,       0.000,     141.421,      15.084,      -0.376,      -1.720,       3.588,       0.000,       0.000,      69.538,       2.076,      -2.143,      -5.636,       0.000,       0.000,       0.000,      53.164,       0.293,      -3.348,       0.000,       0.000,       0.000,       0.000,      25.659,       2.297,       0.000,       0.000,       0.000,       0.000,       0.000,      37.337,
      56.000,     110.802,      48.974,       3.016,       0.228,       0.143,     -24.284,       0.000,     108.087,       1.886,      -0.028,       0.081,      29.004,       0.000,       0.000,       5.389,      -0.397,      -0.009,       1.242,       0.000,       0.000,       0.000,      38.992,      11.491,       0.179,       0.000,       0.000,       0.000,       0.000,       7.070,       0.166,       0.000,       0.000,       0.000,       0.000,       0.000,      28.491,
