Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,test
7740,463.629,287.137,229.627,-131.569,-49.096,19.299,288.801,1243.836,445.274,-370.309,-30.245,-62.869,230.992,445.249,1643.718,-137.662,-140.888,-72.894,-132.925,-371.282,-138.77,335.248,17.961,-27.338,-49.556,-30.676,-141.125,17.976,279.299,-130.587,19.323,-62.984,-72.982,-27.367,-130.813,499.683,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,65.652,9.745,16,-4.251,-2.294,-0.074,9.497,46.737,11.994,-4.475,-0.915,2.555,15.997,12.198,132.389,-1.952,-0.964,-7.789,-4.312,-4.52,-2.004,18.009,0.457,-2.013,-2.325,-0.931,-0.999,0.467,29.968,-3.665,-0.075,2.547,-7.797,-2.024,-3.655,29.8,0,0,0,0
1641,32.927,7.973,11.748,-5.064,-0.318,0.079,7.946,27.937,10.349,-4.235,-0.083,0.328,11.813,10.433,57.77,-2.593,-0.721,0.512,-5.131,-4.308,-2.652,13.734,0.016,0.078,-0.321,-0.082,-0.72,0.016,14.415,-2.446,0.08,0.333,0.514,0.079,-2.441,12.62,0,0,0,0
1666,826.844,173.316,179.597,-41.431,-58.438,3.621,173.092,517.213,134.041,-9.022,-8.357,42.899,179.446,134.009,718.5,4.395,-54.532,2.312,-41.62,-9.255,4.212,245.25,-4.35,-2.783,-58.52,-8.445,-54.613,-4.387,270.585,-4.063,3.638,42.851,2.373,-2.795,-4.031,220.559,0,0,0,0
4148,16.557,5.298,6.15,-0.405,-7.73,-0.049,5.443,43.683,11.064,-0.652,-4.046,-2.617,6.322,11.075,49.081,0.559,-14.091,-2.463,-0.422,-0.66,0.54,8.692,-0.153,-5.201,-7.822,-4.14,-14.163,-0.161,13.571,0.523,-0.053,-2.635,-2.487,-5.215,0.524,17.39,0,0,0,0
4289,39.04,3.645,13.257,-0.059,-3.8,0.459,3.517,14.893,5.282,0.05,-0.583,1.571,13.369,5.472,114.784,0.569,-10.324,0.228,-0.054,0.047,0.561,6.25,0.514,-0.836,-3.87,-0.633,-10.36,0.512,23.107,0.304,0.468,1.586,0.24,-0.838,0.312,11.785,0,0,0,0
4364,1005.65,275.978,257.541,-95.481,-32.574,29.19,275.751,760.327,267.857,-117.93,-0.028,82.673,257.7,268.275,929.584,-48.769,-49.033,17.228,-96.095,-118.541,-49.3,340.186,28.356,7.291,-32.713,-0.089,-49.132,28.29,341.554,-53.996,29.459,83.005,17.678,7.275,-53.985,316.719,0,0,0,0
5676,669.844,250.919,245.11,-88.7,-1.244,9.457,251.534,1389.592,417.367,-102.775,-17.434,99.938,245.706,417.327,1317.665,-28.873,9.472,96.604,-89.04,-103.067,-29.243,406.927,17.866,-22.133,-1.371,-17.547,9.38,17.822,371.182,-35.739,9.807,100.368,97.001,-22.158,-35.806,482.81,0,0,0,0
7194,721.671,80.019,229.777,-136.629,-10.431,17.636,78.919,202.755,82.914,-58.334,-7.352,33.714,229.658,83.697,904.672,-53.52,-14.441,64.381,-136.933,-58.743,-53.892,143.854,16.458,-16.875,-10.475,-7.338,-14.473,16.478,290.073,-43.013,17.761,33.843,64.433,-16.866,-42.932,154.089,0,0,0,0
